Category: Nature,Category: Type,Location: Suburb
Public Health/Safety,Food Premises,PETRIE TERRACE
Public Health/Safety,Food Premises,GAYTHORNE
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK
Public Health/Safety,Unsafe Food/Infection,SANDGATE
Public Health/Safety,Food Premises,PADDINGTON
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,UPPER MOUNT GRAVATT
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,MOUNT GRAVATT
Public Health/Safety,Food Premises,JINDALEE
Public Health/Safety,Food Premises,CALAMVALE
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,DARRA
Public Health/Safety,Food Premises,WEST END
Public Health/Safety,Unsafe Food/Infection,ASCOT
Public Health/Safety,Food Premises,INDOOROOPILLY
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Food Premises,FORTITUDE VALLEY
Public Health/Safety,Food Premises,FORTITUDE VALLEY
Public Health/Safety,Unsafe Food/Infection,RICHLANDS
Public Health/Safety,Food Premises,FORTITUDE VALLEY
Public Health/Safety,Food Premises,MITCHELTON
Public Health/Safety,Unsafe Food/Infection,MANLY WEST
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,CHERMSIDE
Public Health/Safety,Unsafe Food/Infection,INDOOROOPILLY
Public Health/Safety,Food Premises,CALAMVALE
Public Health/Safety,Food Premises,FORTITUDE VALLEY
Public Health/Safety,Food Premises,TENERIFFE
Public Health/Safety,Food Premises,NUNDAH
Public Health/Safety,Unsafe Food/Infection,CHERMSIDE
Public Health/Safety,Unsafe Food/Infection,ROBERTSON
Public Health/Safety,Unsafe Food/Infection,COORPAROO
Public Health/Safety,Unsafe Food/Infection,MOUNT GRAVATT
Public Health/Safety,Unsafe Food/Infection,INALA
Public Health/Safety,Food Premises,WOOLLOONGABBA
Public Health/Safety,Food Premises,BRIGHTON
Public Health/Safety,Unsafe Food/Infection,ST LUCIA
Public Health/Safety,Food Premises,COORPAROO
Public Health/Safety,Food Premises,MOUNT CROSBY
Public Health/Safety,Unsafe Food/Infection,BELMONT
Public Health/Safety,Unsafe Food/Infection,INALA
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,VIRGINIA
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Food Premises,CALAMVALE
Public Health/Safety,Food Premises,SUNNYBANK
Public Health/Safety,Unsafe Food/Infection,ANNERLEY
Public Health/Safety,Unsafe Food/Infection,INDOOROOPILLY
Public Health/Safety,Food Premises,BOONDALL
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,KANGAROO POINT
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,WYNNUM
Public Health/Safety,Unsafe Food/Infection,INDOOROOPILLY
Public Health/Safety,Unsafe Food/Infection,KELVIN GROVE
Public Health/Safety,Food Premises,WOOLLOONGABBA
Public Health/Safety,Unsafe Food/Infection,INDOOROOPILLY
Public Health/Safety,Unsafe Food/Infection,CHERMSIDE
Public Health/Safety,Unsafe Food/Infection,FORTITUDE VALLEY
Public Health/Safety,Food Premises,FORTITUDE VALLEY
Public Health/Safety,Food Premises,HAMILTON
Public Health/Safety,Unsafe Food/Infection,KELVIN GROVE
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK HILLS
Public Health/Safety,Food Premises,RICHLANDS
Public Health/Safety,Unsafe Food/Infection,LUTWYCHE
Public Health/Safety,Unsafe Food/Infection,PETRIE TERRACE
Public Health/Safety,Unsafe Food/Infection,INDOOROOPILLY
Public Health/Safety,Food Premises,STAFFORD
Public Health/Safety,Food Premises,CHERMSIDE
Public Health/Safety,Unsafe Food/Infection,BRACKEN RIDGE
Public Health/Safety,Unsafe Food/Infection,GRANGE
Public Health/Safety,Food Premises,SOUTH BRISBANE
Public Health/Safety,Food Premises,GUMDALE
Public Health/Safety,Unsafe Food/Infection,MORNINGSIDE
Public Health/Safety,Food Premises,COOPERS PLAINS
Public Health/Safety,Food Premises,
Public Health/Safety,Unsafe Food/Infection,LUTWYCHE
Public Health/Safety,Unsafe Food/Infection,MOUNT OMMANEY
Public Health/Safety,Food Premises,UPPER MOUNT GRAVATT
Public Health/Safety,Food Premises,STONES CORNER
Public Health/Safety,Unsafe Food/Infection,TOOWONG
Public Health/Safety,Food Premises,VIRGINIA
Public Health/Safety,Food Premises,FORTITUDE VALLEY
Public Health/Safety,Unsafe Food/Infection,FORTITUDE VALLEY
Public Health/Safety,Food Premises,CANNON HILL
Public Health/Safety,Unsafe Food/Infection,SANDGATE
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,CARINA
Public Health/Safety,Unsafe Food/Infection,ALBION
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Food Premises,BANYO
Public Health/Safety,Unsafe Food/Infection,MOOROOKA
Public Health/Safety,Food Premises,ASCOT
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,CALAMVALE
Public Health/Safety,Food Premises,VIRGINIA
Public Health/Safety,Food Premises,UPPER MOUNT GRAVATT
Public Health/Safety,Unsafe Food/Infection,COORPAROO
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,NUNDAH
Public Health/Safety,Unsafe Food/Infection,LUTWYCHE
Public Health/Safety,Food Premises,SUNNYBANK HILLS
Public Health/Safety,Food Premises,INALA
Public Health/Safety,Food Premises,CHERMSIDE
Public Health/Safety,Food Premises,SOUTH BRISBANE
Public Health/Safety,Food Premises,WEST END
Public Health/Safety,Food Premises,CALAMVALE
Public Health/Safety,Unsafe Food/Infection,RICHLANDS
Public Health/Safety,Food Premises,BULIMBA
Public Health/Safety,Food Premises,MOUNT GRAVATT
Public Health/Safety,Unsafe Food/Infection,FORTITUDE VALLEY
Public Health/Safety,Food Premises,STAFFORD
Public Health/Safety,Food Premises,UPPER MOUNT GRAVATT
Public Health/Safety,Food Premises,PADDINGTON
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,TAIGUM
Public Health/Safety,Food Premises,SUNNYBANK
Public Health/Safety,Food Premises,KANGAROO POINT
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,MANLY
Public Health/Safety,Food Premises,COOPERS PLAINS
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Food Premises,PETRIE TERRACE
Public Health/Safety,Unsafe Food/Infection,SOUTH BRISBANE
Public Health/Safety,Unsafe Food/Infection,SUNNYBANK
Public Health/Safety,Food Premises,SALISBURY
Public Health/Safety,Food Premises,ANSTEAD
Public Health/Safety,Food Premises,CALAMVALE
Public Health/Safety,Unsafe Food/Infection,TAIGUM
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,WYNNUM WEST
Public Health/Safety,Food Premises,SOUTH BRISBANE
Public Health/Safety,Unsafe Food/Infection,TINGALPA
Public Health/Safety,Unsafe Food/Infection,BRISBANE CITY
Public Health/Safety,Food Premises,INALA
Public Health/Safety,Food Premises,GREENSLOPES
Public Health/Safety,Food Premises,WOOLLOONGABBA
Public Health/Safety,Food Premises,BRISBANE CITY
Public Health/Safety,Unsafe Food/Infection,WYNNUM WEST
Public Health/Safety,Unsafe Food/Infection,CARINDALE
Public Health/Safety,Food Premises,JINDALEE
